022b 1.8 bar He
Integration time [ms]:   10.00
Averaging Nr. [scans]: 2
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0705014U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 177.04;  -27.500;    0.000;    0.000
 177.39;  -26.500;    0.000;    0.000
 177.73;   43.500;    0.000;    0.000
 178.07;   24.000;    0.000;    0.000
 178.41;   48.000;    0.000;    0.000
 178.75;   25.500;    0.000;    0.000
 179.09;    8.000;    0.000;    0.000
 179.43;   22.000;    0.000;    0.000
 179.78;   46.000;    0.000;    0.000
 180.12;   72.500;    0.000;    0.000
 180.46;   10.000;    0.000;    0.000
 180.80;  -12.500;    0.000;    0.000
 181.14;   17.000;    0.000;    0.000
 181.48;   -9.500;    0.000;    0.000
 181.82;   15.500;    0.000;    0.000
 182.17;    9.500;    0.000;    0.000
 182.51;    4.500;    0.000;    0.000
 182.85;  -20.000;    0.000;    0.000
 183.19;   -9.000;    0.000;    0.000
 183.53;   32.500;    0.000;    0.000
 183.87;  -19.000;    0.000;    0.000
 184.21;   33.500;    0.000;    0.000
 184.55;   12.000;    0.000;    0.000
 184.90;    9.000;    0.000;    0.000
 185.24;   80.000;    0.000;    0.000
 185.58;   46.000;    0.000;    0.000
 185.92;  -35.000;    0.000;    0.000
 186.26;   27.500;    0.000;    0.000
 186.60;  -17.500;    0.000;    0.000
 186.94;   11.500;    0.000;    0.000
 187.28;   31.000;    0.000;    0.000
 187.63;    5.000;    0.000;    0.000
 187.97;   40.500;    0.000;    0.000
 188.31;    9.000;    0.000;    0.000
 188.65;   23.000;    0.000;    0.000
 188.99;    2.000;    0.000;    0.000
 189.33;   -7.500;    0.000;    0.000
 189.67;   23.000;    0.000;    0.000
 190.01;  -13.500;    0.000;    0.000
 190.36;   -6.000;    0.000;    0.000
 190.70;  -10.000;    0.000;    0.000
 191.04;   45.500;    0.000;    0.000
 191.38;    7.500;    0.000;    0.000
 191.72;   17.000;    0.000;    0.000
 192.06;   27.000;    0.000;    0.000
 192.40;   60.500;    0.000;    0.000
 192.74;    3.000;    0.000;    0.000
 193.08;    4.500;    0.000;    0.000
 193.43;   -3.500;    0.000;    0.000
 193.77;   41.000;    0.000;    0.000
 194.11;   20.000;    0.000;    0.000
 194.45;   -1.000;    0.000;    0.000
 194.79;   -7.000;    0.000;    0.000
 195.13;   28.000;    0.000;    0.000
 195.47;    3.500;    0.000;    0.000
 195.81;  -11.500;    0.000;    0.000
 196.15;   41.500;    0.000;    0.000
 196.49;   -3.000;    0.000;    0.000
 196.84;    8.000;    0.000;    0.000
 197.18;   35.500;    0.000;    0.000
 197.52;   18.000;    0.000;    0.000
 197.86;  -22.000;    0.000;    0.000
 198.20;   13.500;    0.000;    0.000
 198.54;   36.500;    0.000;    0.000
 198.88;   15.000;    0.000;    0.000
 199.22;    4.500;    0.000;    0.000
 199.56;   28.000;    0.000;    0.000
 199.90;  -27.500;    0.000;    0.000
 200.25;   14.500;    0.000;    0.000
 200.59;    3.000;    0.000;    0.000
 200.93;   66.500;    0.000;    0.000
 201.27;  -17.500;    0.000;    0.000
 201.61;   31.000;    0.000;    0.000
 201.95;   36.000;    0.000;    0.000
 202.29;   32.500;    0.000;    0.000
 202.63;   -1.500;    0.000;    0.000
 202.97;    8.000;    0.000;    0.000
 203.31;  -19.000;    0.000;    0.000
 203.65;  -16.000;    0.000;    0.000
 203.99;   15.000;    0.000;    0.000
 204.34;    1.000;    0.000;    0.000
 204.68;   47.500;    0.000;    0.000
 205.02;   33.500;    0.000;    0.000
 205.36;  -11.500;    0.000;    0.000
 205.70;   38.500;    0.000;    0.000
 206.04;   11.000;    0.000;    0.000
 206.38;   24.500;    0.000;    0.000
 206.72;   22.500;    0.000;    0.000
 207.06;  -12.000;    0.000;    0.000
 207.40;   -5.000;    0.000;    0.000
 207.74;   34.500;    0.000;    0.000
 208.08;  -28.500;    0.000;    0.000
 208.42;    2.500;    0.000;    0.000
 208.76;   -6.500;    0.000;    0.000
 209.11;  -21.500;    0.000;    0.000
 209.45;   40.000;    0.000;    0.000
 209.79;    2.500;    0.000;    0.000
 210.13;    1.000;    0.000;    0.000
 210.47;   36.500;    0.000;    0.000
 210.81;   -4.000;    0.000;    0.000
 211.15;   27.000;    0.000;    0.000
 211.49;  -16.500;    0.000;    0.000
 211.83;   51.500;    0.000;    0.000
 212.17;    9.000;    0.000;    0.000
 212.51;   40.000;    0.000;    0.000
 212.85;  -17.000;    0.000;    0.000
 213.19;   -6.500;    0.000;    0.000
 213.53;   19.000;    0.000;    0.000
 213.87;   -5.500;    0.000;    0.000
 214.21;   31.500;    0.000;    0.000
 214.55;   25.500;    0.000;    0.000
 214.89;   21.000;    0.000;    0.000
 215.24;   -3.500;    0.000;    0.000
 215.58;   69.000;    0.000;    0.000
 215.92;   17.000;    0.000;    0.000
 216.26;   20.500;    0.000;    0.000
 216.60;   -4.500;    0.000;    0.000
 216.94;    5.000;    0.000;    0.000
 217.28;   13.500;    0.000;    0.000
 217.62;   14.000;    0.000;    0.000
 217.96;   -2.000;    0.000;    0.000
 218.30;  -18.000;    0.000;    0.000
 218.64;   -0.500;    0.000;    0.000
 218.98;   56.500;    0.000;    0.000
 219.32;    4.000;    0.000;    0.000
 219.66;  -12.500;    0.000;    0.000
 220.00;   56.000;    0.000;    0.000
 220.34;   30.000;    0.000;    0.000
 220.68;   53.000;    0.000;    0.000
 221.02;   12.500;    0.000;    0.000
 221.36;   41.000;    0.000;    0.000
 221.70;  -22.500;    0.000;    0.000
 222.04;   20.000;    0.000;    0.000
 222.38;   -8.000;    0.000;    0.000
 222.72;  -16.500;    0.000;    0.000
 223.06;   47.000;    0.000;    0.000
 223.40;   33.500;    0.000;    0.000
 223.74;   11.500;    0.000;    0.000
 224.08;   -1.000;    0.000;    0.000
 224.43;   36.500;    0.000;    0.000
 224.77;   27.500;    0.000;    0.000
 225.11;   25.000;    0.000;    0.000
 225.45;    7.500;    0.000;    0.000
 225.79;   -8.000;    0.000;    0.000
 226.13;   22.000;    0.000;    0.000
 226.47;   10.000;    0.000;    0.000
 226.81;   16.500;    0.000;    0.000
 227.15;   19.500;    0.000;    0.000
 227.49;   25.000;    0.000;    0.000
 227.83;   13.500;    0.000;    0.000
 228.17;  -14.000;    0.000;    0.000
 228.51;   11.000;    0.000;    0.000
 228.85;   30.500;    0.000;    0.000
 229.19;   12.000;    0.000;    0.000
 229.53;   34.000;    0.000;    0.000
 229.87;   52.500;    0.000;    0.000
 230.21;   38.500;    0.000;    0.000
 230.55;   53.500;    0.000;    0.000
 230.89;   22.000;    0.000;    0.000
 231.23;   11.500;    0.000;    0.000
 231.57;    9.500;    0.000;    0.000
 231.91;  -11.500;    0.000;    0.000
 232.25;    8.500;    0.000;    0.000
 232.59;  -29.500;    0.000;    0.000
 232.93;  -42.500;    0.000;    0.000
 233.27;   31.000;    0.000;    0.000
 233.61;   53.500;    0.000;    0.000
 233.95;   60.000;    0.000;    0.000
 234.29;   16.000;    0.000;    0.000
 234.63;   15.000;    0.000;    0.000
 234.97;   76.500;    0.000;    0.000
 235.31;   -7.500;    0.000;    0.000
 235.65;    8.000;    0.000;    0.000
 235.99;   -9.500;    0.000;    0.000
 236.33;   41.500;    0.000;    0.000
 236.67;  -31.500;    0.000;    0.000
 237.01;   -5.500;    0.000;    0.000
 237.35;   17.500;    0.000;    0.000
 237.69;  -31.000;    0.000;    0.000
 238.03;   13.000;    0.000;    0.000
 238.37;   16.000;    0.000;    0.000
 238.71;   30.500;    0.000;    0.000
 239.05;   54.500;    0.000;    0.000
 239.39;  -11.000;    0.000;    0.000
 239.73;  -18.500;    0.000;    0.000
 240.07;   10.500;    0.000;    0.000
 240.41;   43.500;    0.000;    0.000
 240.75;   10.000;    0.000;    0.000
 241.09;    3.500;    0.000;    0.000
 241.42;   31.000;    0.000;    0.000
 241.76;   -7.500;    0.000;    0.000
 242.10;   37.000;    0.000;    0.000
 242.44;   29.000;    0.000;    0.000
 242.78;   73.000;    0.000;    0.000
 243.12;   68.500;    0.000;    0.000
 243.46;   33.500;    0.000;    0.000
 243.80;   33.500;    0.000;    0.000
 244.14;   68.000;    0.000;    0.000
 244.48;   44.500;    0.000;    0.000
 244.82;   39.500;    0.000;    0.000
 245.16;   16.000;    0.000;    0.000
 245.50;   -7.000;    0.000;    0.000
 245.84;   12.000;    0.000;    0.000
 246.18;   26.000;    0.000;    0.000
 246.52;   47.000;    0.000;    0.000
 246.86;  -17.500;    0.000;    0.000
 247.20;   33.500;    0.000;    0.000
 247.54;   29.500;    0.000;    0.000
 247.88;   51.000;    0.000;    0.000
 248.22;  -15.000;    0.000;    0.000
 248.56;   33.500;    0.000;    0.000
 248.90;    4.000;    0.000;    0.000
 249.24;   17.000;    0.000;    0.000
 249.58;   20.000;    0.000;    0.000
 249.92;    2.500;    0.000;    0.000
 250.26;   39.000;    0.000;    0.000
 250.59;   60.000;    0.000;    0.000
 250.93;   43.000;    0.000;    0.000
 251.27;   37.000;    0.000;    0.000
 251.61;   28.000;    0.000;    0.000
 251.95;   -0.500;    0.000;    0.000
 252.29;   13.500;    0.000;    0.000
 252.63;   31.500;    0.000;    0.000
 252.97;   22.000;    0.000;    0.000
 253.31;   -7.000;    0.000;    0.000
 253.65;   36.500;    0.000;    0.000
 253.99;   57.500;    0.000;    0.000
 254.33;   37.000;    0.000;    0.000
 254.67;   -4.000;    0.000;    0.000
 255.01;   43.000;    0.000;    0.000
 255.35;   17.000;    0.000;    0.000
 255.69;  -12.000;    0.000;    0.000
 256.03;   -7.500;    0.000;    0.000
 256.37;   31.500;    0.000;    0.000
 256.70;  -37.500;    0.000;    0.000
 257.04;  -17.000;    0.000;    0.000
 257.38;    4.000;    0.000;    0.000
 257.72;  -17.500;    0.000;    0.000
 258.06;   14.500;    0.000;    0.000
 258.40;   52.000;    0.000;    0.000
 258.74;   28.500;    0.000;    0.000
 259.08;   47.500;    0.000;    0.000
 259.42;   32.000;    0.000;    0.000
 259.76;    8.000;    0.000;    0.000
 260.10;  -14.000;    0.000;    0.000
 260.44;   46.000;    0.000;    0.000
 260.78;   43.000;    0.000;    0.000
 261.11;   -7.500;    0.000;    0.000
 261.45;   40.000;    0.000;    0.000
 261.79;   67.500;    0.000;    0.000
 262.13;   11.000;    0.000;    0.000
 262.47;  -16.000;    0.000;    0.000
