lambda	lamp	measure	lamp/measure	 LambdaCalibSp 	 CalibSpline 	Column 7	Lambda Hammamtsu	 factor interpolated with origin 
250	1.27E-03	3.57E-03	0.356016329	 300.00   	 90 000.00   		208.699	0
250.8056	1.30E-03	3.60E-03	0.36151573	 300.50   	 90 300.25   		209.074	0
251.6112	1.33E-03	3.67E-03	0.363172639	 301.00   	 90 601.00   		209.45	0
252.4168	1.36E-03	3.66E-03	0.372517491	 301.50   	 90 902.25   		209.825	0
253.2224	1.40E-03	3.64E-03	0.385189751	 302.00   	 91 204.00   		210.201	0
254.028	1.44E-03	3.71E-03	0.388221839	 302.50   	 91 506.25   		210.577	0
254.8336	1.49E-03	3.67E-03	0.405741103	 303.00   	 91 809.00   		210.953	0
255.6392	1.54E-03	3.68E-03	0.419392016	 303.50   	 92 112.25   		211.329	0
256.4448	1.61E-03	3.64E-03	0.440779222	 304.00   	 92 416.00   		211.705	0
257.2504	1.67E-03	3.71E-03	0.451445317	 304.50   	 92 720.25   		212.081	0
258.056	1.75E-03	3.67E-03	0.476345159	 305.00   	 93 025.00   		212.457	0
258.8616	1.82E-03	3.71E-03	0.491608437	 305.50   	 93 330.25   		212.834	0
259.6672	1.91E-03	3.71E-03	0.513945621	 306.00   	 93 636.00   		213.21	0
260.4728	1.99E-03	3.72E-03	0.534628865	 306.50   	 93 942.25   		213.587	0
261.2784	2.08E-03	3.73E-03	0.556981963	 307.00   	 94 249.00   		213.963	0
262.084	2.17E-03	3.76E-03	0.576165388	 307.50   	 94 556.25   		214.34	0
262.8896	2.26E-03	3.76E-03	0.600323718	 308.00   	 94 864.00   		214.716	0
263.6952	2.35E-03	3.80E-03	0.620418273	 308.50   	 95 172.25   		215.093	0
264.5008	2.45E-03	3.79E-03	0.647983474	 309.00   	 95 481.00   		215.47	0
265.3064	2.56E-03	3.77E-03	0.678640443	 309.50   	 95 790.25   		215.847	0
266.112	2.66E-03	3.77E-03	0.706568488	 310.00   	 96 100.00   		216.223	0
266.9176	2.77E-03	3.87E-03	0.715271255	 310.50   	 96 410.25   		216.6	0
267.7232	2.88E-03	3.84E-03	0.75045783	 311.00   	 96 721.00   		216.977	0
268.5288	3.00E-03	3.84E-03	0.780593323	 311.50   	 97 032.25   		217.355	0
269.3344	3.11E-03	3.89E-03	0.800812229	 312.00   	 97 344.00   		217.732	0
270.14	3.23E-03	3.94E-03	0.820920284	 312.50   	 97 656.25   		218.109	0
270.9456	3.35E-03	3.95E-03	0.849200586	 313.00   	 97 969.00   		218.486	0
271.7512	3.48E-03	3.99E-03	0.872414942	 313.50   	 98 282.25   		218.864	0
272.5568	3.61E-03	4.00E-03	0.902411591	 314.00   	 98 596.00   		219.241	0
273.3624	3.74E-03	4.04E-03	0.9250708	 314.50   	 98 910.25   		219.619	0
274.168	3.87E-03	4.04E-03	0.956585997	 315.00   	 99 225.00   		219.996	0
274.9736	4.01E-03	4.07E-03	0.985077124	 315.50   	 99 540.25   		220.374	0
275.7792	4.15E-03	4.08E-03	1.017841981	 316.00   	 99 856.00   		220.752	0
276.5848	4.29E-03	4.17E-03	1.029165868	 316.50   	 100 172.25   		221.13	0
277.3904	4.44E-03	4.15E-03	1.069860957	 317.00   	 100 489.00   		221.507	0
278.196	4.60E-03	4.23E-03	1.086428997	 317.50   	 100 806.25   		221.885	0
279.0016	4.76E-03	4.26E-03	1.116006387	 318.00   	 101 124.00   		222.263	0
279.8072	4.92E-03	4.24E-03	1.160310155	 318.50   	 101 442.25   		222.641	0
280.6128	5.09E-03	4.27E-03	1.190923298	 319.00   	 101 761.00   		223.02	0
281.4184	5.26E-03	4.27E-03	1.232807357	 319.50   	 102 080.25   		223.398	0
282.224	5.44E-03	4.38E-03	1.241865894	 320.00   	 102 400.00   		223.776	0
283.0296	5.62E-03	4.39E-03	1.279818793	 320.50   	 102 720.25   		224.154	0
283.8352	5.81E-03	4.40E-03	1.319177506	 321.00   	 103 041.00   		224.533	0
