PG-FROG
Starting with Vanilla
Pulse width: 12
Linear chirp: 0.04
Self-phase modulation: 4
Temporal cubic phase: 0
Temporal quartic phase: 0
Temporal quintic phase: 0
Spectral cubic phase: 0
Spectral quartic phase: 0
Spectral quintic phase: 0
Satellite pulse amplitude: 0.2
Satellite pulse separation: 12
Satellite pulse phase distortions:
   linear chirp
   self-phase modulation
0 0.0295155
1 0.0215311
2 0.0189978
3 0.0150934
4 0.0117971
5 0.0100395
6 0.00922373
7 0.00871736
8 0.00828483
9 0.00786542
10 0.00743936
11 0.00701765
12 0.00660354
13 0.00621384
14 0.00583172
15 0.00544326
16 0.0050588
17 0.00473232
18 0.00445627
19 0.0041812
20 0.00392461
21 0.00371444
22 0.0035035
23 0.00325311
24 0.003034
25 0.00284929
26 0.00269886
27 0.0025828
28 0.0024874
29 0.00240858
30 0.00234787
31 0.00229163
32 0.00224334
33 0.0021984
34 0.00215359
35 0.00210671
36 0.0020562
37 0.00199748
38 0.00194282
39 0.00189925
40 0.00184789
41 0.00185183
42 0.00180272
43 0.00174548
44 0.00167816
45 0.0016027
46 0.0015259
47 0.0014556
48 0.00138911
49 0.00131839
50 0.00124345
51 0.00116884
52 0.0010944
53 0.00102269
54 0.000955287
55 0.000893049
56 0.000834365
57 0.000779031
58 0.000727204
59 0.000679051
60 0.000634412
61 0.000593029
62 0.000554747
63 0.000519075
64 0.000486505
65 0.000456853
66 0.000429944
67 0.000405515
68 0.000383093
69 0.000362437
70 0.000343492
71 0.000326148
72 0.000310368
73 0.00029599
74 0.000282878
75 0.000270913
76 0.000259991
77 0.000250024
78 0.000240934
79 0.000232647
80 0.000225099
81 0.00021823
82 0.000211988
83 0.000206326
84 0.000201198
85 0.000196553
86 0.000192334
87 0.000188494
88 0.000184995
89 0.000181804
90 0.000178895
91 0.00017624
92 0.000173817
93 0.000171605
94 0.000169584
95 0.000167738
96 0.00016605
97 0.000164506
98 0.000163093
99 0.000161798
100 0.000160611
101 0.000159523
102 0.000158524
103 0.000157608
104 0.000156773
105 0.000156007
106 0.000155304
107 0.000154656
108 0.000154065
109 0.000153524
110 0.00015304
111 0.000152598
112 0.000152193
113 0.00015182
114 0.000151478
EXPO
115 0.000151478
116 0.000149078
117 0.000144162
118 0.000140806
119 0.000138083
120 0.000135665
121 0.000133518
122 0.000131621
123 0.000129953
124 0.000128487
125 0.000127201
126 0.000126072
127 0.00012508
128 0.000124207
129 0.000123439
130 0.00012276
131 0.000122161
132 0.00012163
133 0.000121159
134 0.00012074
135 0.000120367
136 0.000120034
137 0.000119736
138 0.000119468
139 0.000119228
140 0.000119012
141 0.000118817
142 0.00011864
143 0.00011848
144 0.000118334
145 0.000118201
146 0.00011808
147 0.000117969
148 0.000117866
149 0.000117772
150 0.000117685
151 0.000117605
152 0.00011753
153 0.00011746
154 0.000117395
155 0.000117334
156 0.000117277
157 0.000117224
158 0.000117173
159 0.000117125
INTENSITY GATE
160 0.000117125
161 0.00895939
162 0.0149573
163 0.0091775
164 0.0156929
165 0.020461
166 0.0153528
167 0.0218379
168 0.0289155
169 0.0201844
GENERALIZED PROJECTION incl. SHORTCUT PROJECTIONS
170 0.000117125
171 8.98754e-05
172 7.14753e-05
173 6.02691e-05
174 5.29928e-05
175 4.66899e-05
176 4.15334e-05
177 3.70559e-05
178 3.30971e-05
179 2.97129e-05
180 2.66203e-05
181 2.39856e-05
182 2.15491e-05
183 1.94652e-05
184 1.75276e-05
185 1.57789e-05
186 1.30891e-05
187 1.11804e-05
188 1.0027e-05
189 9.13108e-06
190 8.27793e-06
191 7.54309e-06
192 6.85328e-06
193 6.26158e-06
194 5.69848e-06
195 5.19431e-06
196 4.43668e-06
197 3.94234e-06
198 3.59207e-06
199 3.33315e-06
200 3.06554e-06
201 2.85302e-06
202 2.63517e-06
203 2.46369e-06
204 2.28457e-06
205 2.13381e-06
206 1.90083e-06
207 1.76279e-06
208 1.64386e-06
209 1.56671e-06
210 1.47471e-06
211 1.40948e-06
212 1.33411e-06
213 1.28009e-06
214 1.21773e-06
215 1.16705e-06
216 1.08695e-06
217 1.04175e-06
218 9.99785e-07
219 9.74266e-07
220 9.42638e-07
221 9.20689e-07
222 8.95818e-07
223 8.77559e-07
224 8.57917e-07
225 8.39739e-07
226 8.17227e-07
227 8.02651e-07
228 7.90846e-07
229 7.83128e-07
230 7.74626e-07
231 7.68184e-07
232 7.61979e-07
233 7.56905e-07
234 7.52352e-07
235 7.47052e-07
236 7.44501e-07
237 7.41519e-07
238 7.39292e-07
239 7.37394e-07
240 7.35853e-07
241 7.34576e-07
242 7.33526e-07
243 7.32653e-07
244 7.31924e-07
245 7.30454e-07
246 7.30396e-07
247 7.30112e-07
248 7.29816e-07
249 7.29547e-07
250 7.29309e-07
251 7.29104e-07
252 7.28928e-07
253 7.28778e-07
254 7.28652e-07
POVER
255 7.28652e-07
256 7.28456e-07
257 7.28328e-07
258 7.28253e-07
259 7.28221e-07
260 7.28222e-07
261 7.2825e-07
262 7.283e-07
263 7.28367e-07
264 7.28449e-07
265 7.28541e-07
266 7.28643e-07
267 7.28752e-07
268 7.28867e-07
269 7.28987e-07
270 7.2911e-07
VANILLA
271 7.28221e-07
272 3.74596e-05
273 4.90564e-05
274 6.07514e-05
275 6.94182e-05
276 7.63895e-05
277 8.25454e-05
278 8.81291e-05
279 9.32254e-05
280 9.78816e-05
EXPO
281 7.28221e-07
282 3.74102e-05
283 4.78278e-05
284 5.55605e-05
285 6.16017e-05
286 6.74154e-05
287 7.2694e-05
288 7.73688e-05
289 8.14911e-05
290 8.51428e-05
INTENSITY GATE
291 7.28221e-07
292 3.74596e-05
293 0.00899333
294 0.0150114
295 0.0092633
296 0.0158858
297 0.0205444
298 0.0154954
299 0.0220619
GENERALIZED PROJECTION incl. SHORTCUT PROJECTIONS
300 7.28221e-07
301 7.28218e-07
302 7.28222e-07
303 7.28233e-07
304 7.2825e-07
305 7.28271e-07
306 7.28298e-07
307 7.28329e-07
308 7.28363e-07
309 7.28401e-07
310 7.28443e-07
311 7.28487e-07
312 7.28533e-07
POVER
313 7.28218e-07
314 7.28233e-07
315 7.28273e-07
316 7.28331e-07
317 7.28406e-07
318 7.28493e-07
319 7.2859e-07
320 7.28696e-07
321 7.28808e-07
322 7.28926e-07
323 7.29047e-07
324 7.29172e-07
MIN_PR
Temporal FWHM of intensity is 11.1272 fs
Autocorrelation FWHM is 16.5587
Expanded Time-Bandwidth Products: FWHM 0.821729; RMS 1.56896
Time-Bandwidth Products: FWHM 0.821734; RMS 1.56896
Spectral broadening factors: FWHM 2.26847; RMS 2.26232
Temporal broadening factors: FWHM 3.41462; RMS 1.35358
