-10  0,1231275
-9,921875  0,1284247
-9,84375  0,1336754
-9,765625  0,1388687
-9,6875  0,1440033
-9,609375  0,1490873
-9,53125  0,1541381
-9,453125  0,1591812
-9,375  0,1642493
-9,296875  0,1693806
-9,21875  0,1746178
-9,140625  0,1800062
-9,0625  0,1855919
-8,984375  0,1914206
-8,90625  0,1975354
-8,828125  0,203976
-8,75  0,2107765
-8,671875  0,217965
-8,59375  0,225562
-8,515625  0,2335799
-8,4375  0,2420228
-8,359375  0,2508857
-8,28125  0,2601551
-8,203125  0,2698092
-8,125  0,2798182
-8,046875  0,2901456
-7,96875  0,3007489
-7,890625  0,3115806
-7,8125  0,3225898
-7,734375  0,3337232
-7,65625  0,3449262
-7,578125  0,3561445
-7,5  0,3673247
-7,421875  0,3784157
-7,34375  0,389369
-7,265625  0,4001396
-7,1875  0,4106861
-7,109375  0,42097
-7,03125  0,4309562
-6,953125  0,4406114
-6,875  0,449903
-6,796875  0,458798
-6,71875  0,4672613
-6,640625  0,475254
-6,5625  0,4827321
-6,484375  0,4896454
-6,40625  0,4959372
-6,328125  0,5015446
-6,25  0,5063988
-6,171875  0,5104276
-6,09375  0,5135578
-6,015625  0,5157178
-5,9375  0,5168422
-5,859375  0,5168745
-5,78125  0,515772
-5,703125  0,5135085
-5,625  0,5100777
-5,546875  0,5054954
-5,46875  0,499801
-5,390625  0,4930584
-5,3125  0,4853552
-5,234375  0,4768021
-5,15625  0,4675312
-5,078125  0,4576932
-5  0,4474548
-4,921875  0,4369954
-4,84375  0,4265032
-4,765625  0,4161718
-4,6875  0,4061958
-4,609375  0,396767
-4,53125  0,3880698
-4,453125  0,3802774
-4,375  0,3735473
-4,296875  0,3680178
-4,21875  0,3638036
-4,140625  0,3609935
-4,0625  0,3596467
-3,984375  0,3597915
-3,90625  0,3614242
-3,828125  0,3645087
-3,75  0,3689774
-3,671875  0,3747341
-3,59375  0,3816562
-3,515625  0,3895996
-3,4375  0,3984036
-3,359375  0,4078971
-3,28125  0,4179045
-3,203125  0,4282523
-3,125  0,438776
-3,046875  0,449326
-2,96875  0,4597729
-2,890625  0,4700125
-2,8125  0,4799697
-2,734375  0,4896005
-2,65625  0,4988936
-2,578125  0,5078707
-2,5  0,5165847
-2,421875  0,5251181
-2,34375  0,5335792
-2,265625  0,542098
-2,1875  0,5508215
-2,109375  0,5599077
-2,03125  0,56952
-1,953125  0,5798213
-1,875  0,590967
-1,796875  0,6030997
-1,71875  0,6163425
-1,640625  0,6307937
-1,5625  0,6465211
-1,484375  0,6635575
-1,40625  0,6818968
-1,328125  0,7014902
-1,25  0,7222444
-1,171875  0,7440203
-1,09375  0,7666333
-1,015625  0,7898547
-0,9375  0,8134153
-0,859375  0,8370097
-0,78125  0,8603027
-0,703125  0,8829373
-0,625  0,9045437
-0,546875  0,924749
-0,46875  0,9431887
-0,390625  0,9595167
-0,3125  0,9734171
-0,234375  0,9846138
-0,15625  0,9928796
-0,078125  0,9980444
0  1
0,078125  0,9980444
0,15625  0,9928796
0,234375  0,9846138
0,3125  0,9734171
0,390625  0,9595167
0,46875  0,9431887
0,546875  0,924749
0,625  0,9045437
0,703125  0,8829373
0,78125  0,8603027
0,859375  0,8370097
0,9375  0,8134153
1,015625  0,7898547
1,09375  0,7666333
1,171875  0,7440203
1,25  0,7222444
1,328125  0,7014902
1,40625  0,6818968
1,484375  0,6635575
1,5625  0,6465211
1,640625  0,6307937
1,71875  0,6163425
1,796875  0,6030997
1,875  0,590967
1,953125  0,5798213
2,03125  0,56952
2,109375  0,5599077
2,1875  0,5508215
2,265625  0,542098
2,34375  0,5335792
2,421875  0,5251181
2,5  0,5165847
2,578125  0,5078707
2,65625  0,4988936
2,734375  0,4896005
2,8125  0,4799697
2,890625  0,4700125
2,96875  0,4597729
3,046875  0,449326
3,125  0,438776
3,203125  0,4282523
3,28125  0,4179045
3,359375  0,4078971
3,4375  0,3984036
3,515625  0,3895996
3,59375  0,3816562
3,671875  0,3747341
3,75  0,3689774
3,828125  0,3645087
3,90625  0,3614242
3,984375  0,3597915
4,0625  0,3596467
4,140625  0,3609935
4,21875  0,3638036
4,296875  0,3680178
4,375  0,3735473
4,453125  0,3802774
4,53125  0,3880698
4,609375  0,396767
4,6875  0,4061958
4,765625  0,4161718
4,84375  0,4265032
4,921875  0,4369954
5  0,4474548
5,078125  0,4576932
5,15625  0,4675312
5,234375  0,4768021
5,3125  0,4853552
5,390625  0,4930584
5,46875  0,499801
5,546875  0,5054954
5,625  0,5100777
5,703125  0,5135085
5,78125  0,515772
5,859375  0,5168745
5,9375  0,5168422
6,015625  0,5157178
6,09375  0,5135578
6,171875  0,5104276
6,25  0,5063988
6,328125  0,5015446
6,40625  0,4959372
6,484375  0,4896454
6,5625  0,4827321
6,640625  0,475254
