-88,23529  1,014095E-5  0  -0,00263067  -0,0009185548
-88,56089  2,068041E-5  0  -0,002325354  -0,003247035
-88,88889  1,967996E-5  0  -0,0006896553  -0,003849142
-89,21933  8,855682E-6  0  0,001230431  -0,002327712
-89,55224  6,901465E-6  0  0,002272499  0,0005278167
-89,88764  1,689216E-5  0  0,001852893  0,0031605
-90,22556  2,11875E-5  0  0,000296735  0,004107759
-90,56604  1,225959E-5  0  -0,001385156  0,002823121
-90,90909  5,574304E-6  0  -0,002128459  -7,890649E-6
-91,25475  1,249354E-5  0  -0,001470444  -0,002840603
-91,60305  2,06723E-5  0  0,0001681409  -0,004126766
-91,95402  1,576638E-5  0  0,001743673  -0,003173274
-92,30769  6,284405E-6  0  0,002234552  -0,0005221689
-92,66409  8,530916E-6  0  0,001279473  0,002359355
-93,02326  1,827784E-5  0  -0,0005806207  0,00390087
-93,38521  1,838081E-5  0  -0,002210955  0,003297752
-93,75  8,635546E-6  0  -0,002565001  0,0009405494
-94,11765  5,883321E-6  0  -0,001334317  -0,001828831
-94,48819  1,461855E-5  0  0,0008290265  -0,003485335
-94,86166  1,939294E-5  0  0,002664853  -0,003171767
-95,2381  1,184028E-5  0  0,00303848  -0,001152768
-95,61753  5,048656E-6  0  0,001628656  0,001373575
-96  1,059701E-5  0  -0,0008419715  0,002982481
-96,38554  1,854212E-5  0  -0,002986203  0,002832426
-96,77419  1,494202E-5  0  -0,003538064  0,001115087
-97,16599  6,038792E-6  0  -0,002096913  -0,00109986
-97,56098  7,15829E-6  0  0,0006061047  -0,002516529
-97,95918  1,605757E-5  0  0,003088276  -0,002369737
-98,36066  1,706761E-5  0  0,003940015  -0,0008454706
-98,76543  8,404249E-6  0  0,002630286  0,001069369
-99,17355  5,047304E-6  0  -0,0001695838  0,002202969
-99,58506  1,257196E-5  0  -0,00293831  0,001904535
-100  1,76443E-5  0  -0,004144346  0,0004193462
-100,4184  1,137485E-5  0  -0,003103498  -0,001283807
-100,8403  4,630983E-6  0  -0,0003696244  -0,002119991
-101,2658  8,937296E-6  0  0,002565787  -0,001558721
-101,6949  1,652786E-5  0  0,004099609  4,883686E-5
-102,1277  1,407394E-5  0  0,003405706  0,00168426
-102,5641  5,826853E-6  0  0,0008877804  0,002289019
-103,0043  5,995536E-6  0  -0,002055382  0,001425139
-103,4483  1,401425E-5  0  -0,003815805  -0,0004337459
-103,8961  1,574739E-5  0  -0,003467961  -0,002165522
-104,3478  8,15017E-6  0  -0,001265863  -0,002669193
-104,8035  4,365063E-6  0  0,001526242  -0,001544505
-105,2632  1,073852E-5  0  0,003362161  0,0006301043
-105,7269  1,594808E-5  0  0,003280429  0,002601912
-106,1947  1,086079E-5  0  0,001419022  0,003167198
-106,6667  4,296531E-6  0  -0,001102683  0,001895113
-107,1429  7,493168E-6  0  -0,002850275  -0,0005788083
-107,6233  1,463138E-5  0  -0,002895097  -0,002878253
-108,1081  1,316651E-5  0  -0,001317716  -0,003660109
-108,5973  5,6309E-6  0  0,0008834599  -0,002397918
-109,0909  5,017123E-6  0  0,00240672  0,0002817606
-109,589  1,214241E-5  0  0,002413213  0,002918409
-110,0917  1,442766E-5  0  0,0009952982  0,004025637
-110,5991  7,864408E-6  0  -0,0009172209  0,002935798
-111,1111  3,810875E-6  0  -0,002141816  0,0001982953
-111,6279  9,104697E-6  0  -0,001960501  -0,002704313
-112,1495  1,431066E-5  0  -0,0005400951  -0,004172387
-112,6761  1,029758E-5  0  0,001190201  -0,003382327
-113,2075  4,02349E-6  0  0,002122248  -0,0007529704
-113,7441  6,244459E-6  0  0,001656194  0,002280753
-114,2857  1,285418E-5  0  7,386376E-5  0,004062638
-114,8325  1,222522E-5  0  -0,001629275  0,003633002
-115,3846  5,436131E-6  0  -0,002354323  0,001254789
-115,942  4,199333E-6  0  -0,0015835  -0,001744653
-116,5049  1,043635E-5  0  0,0002781332  -0,003721987
-117,0732  1,311627E-5  0  0,002119697  -0,003631231
-117,6471  7,540513E-6  0  0,002782044  -0,001588618
-118,2266  3,361422E-6  0  0,001768795  0,001221401
-118,8119  7,657242E-6  0  -0,0004180993  0,003233412
-119,403  1,273821E-5  0  -0,002533231  0,003382643
-120  9,686462E-6  0  -0,003300574  0,001680242
-120,603  3,792753E-6  0  -0,002174734  -0,0008340063
-121,2121  5,171962E-6  0  0,0003000827  -0,002717107
-121,8274  1,119736E-5  0  0,002759797  -0,002954101
-122,449  1,125654E-5  0  0,003781853  -0,001515005
-123,0769  5,230381E-6  0  0,002709061  0,0006726317
-123,7113  3,520114E-6  0  5,829846E-5  0,002300987
-124,3523  8,890133E-6  0  -0,002734842  0,002457587
-125  1,182131E-5  0  -0,00410614  0,001141862
-125,6545  7,174275E-6  0  -0,003247067  -0,0007720393
-126,3158  2,995614E-6  0  -0,000579765  -0,002089078
-126,9841  6,383123E-6  0  0,002455649  -0,0020228
-127,6596  1,123661E-5  0  0,004191712  -0,0006617256
-128,3422  9,03025E-6  0  0,003662219  0,001102572
-129,0323  3,587728E-6  0  0,001146066  0,002135584
-129,7297  4,257344E-6  0  -0,001982476  0,00176519
-130,4348  9,661527E-6  0  -0,004015396  0,0002028867
-131,1475  1,026775E-5  0  -0,003857484  -0,001576993
-131,8681  5,003947E-6  0  -0,00162694  -0,002431072
-132,5967  2,958968E-6  0  0,001424129  -0,001757251
-133,3333  7,497523E-6  0  0,003618769  0,000110536
