-88,23529  1,509689E-5  0  -0,003252886  0,0009885768
-88,56089  2,246264E-5  0  -0,003872428  -0,001526243
-88,88889  2,031867E-5  0  -0,002333119  -0,003216264
-89,21933  1,199763E-5  0  0,0004426681  -0,003032451
-89,55224  1,167837E-5  0  0,002861583  -0,00101069
-89,88764  1,983602E-5  0  0,003578699  0,001718719
-90,22556  2,225083E-5  0  0,002254793  0,003567759
-90,56604  1,453287E-5  0  -0,0002786545  0,003412429
-90,90909  9,839109E-6  0  -0,002529165  0,001264855
-91,25475  1,620073E-5  0  -0,00322014  -0,001702301
-91,60305  2,250585E-5  0  -0,002020929  -0,003806223
-91,95402  1,75965E-5  0  0,0002896491  -0,003814177
-92,30769  9,667806E-6  0  0,00230969  -0,00166321
-92,66409  1,223863E-5  0  0,002853799  0,001479959
-93,02326  2,072596E-5  0  0,001647446  0,003863043
-93,38521  2,027353E-5  0  -0,0005300065  0,004135914
-93,75  1,148515E-5  0  -0,002330157  0,002120661
-94,11765  9,414729E-6  0  -0,002653411  -0,00107735
-94,48819  1,742177E-5  0  -0,001310349  -0,003684971
-94,86166  2,132477E-5  0  0,0008671649  -0,004256657
-95,2381  1,410525E-5  0  0,002530297  -0,002485786
-95,61753  8,139319E-6  0  0,002631378  0,0006276048
-96  1,360571E-5  0  0,001066218  0,003345757
-96,38554  2,076349E-5  0  -0,001246626  0,004173178
-96,77419  1,70146E-5  0  -0,002903576  0,002690607
-97,16599  8,845109E-6  0  -0,002856697  -0,0002270491
-97,56098  1,033516E-5  0  -0,001058357  -0,002924682
-97,95918  1,853552E-5  0  0,001479684  -0,003911778
-98,36066  1,881211E-5  0  0,003260295  -0,002696068
-98,76543  1,054593E-5  0  0,003180436  -3,512709E-5
-99,17355  8,087318E-6  0  0,00120106  0,002525794
-99,58506  1,554099E-5  0  -0,001593958  0,00355187
-100  1,968628E-5  0  -0,003599375  0,002530621
-100,4184  1,318189E-5  0  -0,003612981  0,0001348571
-100,8403  7,247169E-6  0  -0,001549254  -0,002201586
-101,2658  1,191287E-5  0  0,001478719  -0,003134806
-101,6949  1,867698E-5  0  0,003770211  -0,00218641
-102,1277  1,56047E-5  0  0,004000705  4,892225E-6
-102,5641  8,049693E-6  0  0,001988789  0,002090925
-103,0043  9,000229E-6  0  -0,001178427  0,002828774
-103,4483  1,644381E-5  0  -0,003742687  0,001815942
-103,8961  1,71898E-5  0  -0,004262058  -0,0002868049
-104,3478  9,907286E-6  0  -0,002428987  -0,002169907
-104,8035  7,133922E-6  0  0,0007481656  -0,002673188
-105,2632  1,331931E-5  0  0,00350691  -0,001488245
-105,7269  1,736346E-5  0  0,004319478  0,0006550949
-106,1947  1,213751E-5  0  0,002748946  0,002429807
-106,6667  6,683944E-6  0  -0,0003116421  0,002716892
-107,1429  1,02694E-5  0  -0,003150006  0,001292535
-107,6233  1,641007E-5  0  -0,00420193  -0,001017713
-108,1081  1,434952E-5  0  -0,002924647  -0,002817603
-108,5973  7,632768E-6  0  -8,364373E-5  -0,002974089
-109,0909  7,709412E-6  0  0,002701887  -0,00131239
-109,589  1,410816E-5  0  0,00388676  0,001247172
-110,0917  1,551501E-5  0  0,002867095  0,003205021
-110,5991  9,453217E-6  0  0,0002959216  0,003359142
-111,1111  6,370154E-6  0  -0,002321604  0,001531018
-111,6279  1,140427E-5  0  -0,003507622  -0,001292809
-112,1495  1,560301E-5  0  -0,002652534  -0,003501866
-112,6761  1,156342E-5  0  -0,0003361579  -0,003784724
-113,2075  6,187353E-6  0  0,002043826  -0,001902852
-113,7441  8,602058E-6  0  0,003105818  0,00113942
-114,2857  1,439228E-5  0  0,002286857  0,00364093
-114,8325  1,338965E-5  0  0,00014738  0,004164315
-115,3846  7,29479E-6  0  -0,001989713  0,002364709
-115,942  6,581877E-6  0  -0,002841295  -0,000792412
-116,5049  1,226867E-5  0  -0,0019273  -0,00355835
-117,0732  1,425967E-5  0  0,0001560716  -0,004381294
-117,6471  8,968733E-6  0  0,002109789  -0,002785001
-118,2266  5,489636E-6  0  0,002723923  0,0003550307
-118,8119  9,709413E-6  0  0,001612333  0,003298327
-119,403  1,412267E-5  0  -0,0005502288  0,004415639
-120  1,097175E-5  0  -0,002431962  0,00310204
-120,603  5,684703E-6  0  -0,002849396  0,0001102786
-121,2121  7,29141E-6  0  -0,001493127  -0,002881941
-121,8274  1,272068E-5  0  0,0008639143  -0,004221402
-122,449  1,231527E-5  0  0,0028089  -0,003204502
-123,0769  6,708007E-6  0  0,00312816  -0,0004552013
-123,7113  5,583534E-6  0  0,001547779  0,002451096
-124,3523  1,072189E-5  0  -0,001069611  0,003893655
-125  1,300813E-5  0  -0,003202223  0,003119876
-125,6545  8,402375E-6  0  -0,003553555  0,0006469956
-126,3158  4,856314E-6  0  -0,001829934  -0,002066716
-126,9841  8,327096E-6  0  0,001050893  -0,003478532
-127,6596  1,250588E-5  0  0,003457503  -0,002843975
-128,3422  9,989432E-6  0  0,003974789  -0,000618289
-129,0323  5,123146E-6  0  0,002233422  0,001843895
-129,7297  6,244325E-6  0  -0,0008463181  0,003101355
-130,4348  1,117676E-5  0  -0,003550519  0,002468499
-131,1475  1,120639E-5  0  -0,004335712  0,0003953861
-131,8681  6,262043E-6  0  -0,002714261  -0,001827909
-132,5967  4,836464E-6  0  0,0004487108  -0,002856736
-133,3333  9,145266E-6  0  0,003405341  -0,002095725
-134,0782  1,146988E-5  0  0,004502797  -4,428567E-5
-134,8315  7,709068E-6  0  0,003116596  0,002017162
-135,5932  4,361968E-6  0  8,368423E-6  0,002808297
-136,3636  7,075451E-6  0  -0,003097918  0,001827941
-137,1429  1,09277E-5  0  -0,004483145  -0,0003365794
-137,931  9,135564E-6  0  -0,003396182  -0,002357513
-138,7283  4,768346E-6  0  -0,0004681905  -0,002967394
-139,5349  5,249836E-6  0  0,002653614  -0,001734966
-140,3509  9,501114E-6  0  0,004240378  0,0006513169
-141,1765  9,993452E-6  0  0,003450809  0,002771116
-142,0118  5,841324E-6  0  0,0007866756  0,003311499
-142,8571  4,179363E-6  0  -0,00221638  0,001864245
-143,7126  7,708944E-6  0  -0,003875886  -0,0007967243
-144,5783  1,01286E-5  0  -0,003314252  -0,003136247
-145,4545  7,159184E-6  0  -0,0009327992  -0,003745023
-146,3415  3,88547E-6  0  0,001852574  -0,00217966
-147,2393  5,833348E-6  0  0,003447702  0,0007414887
-148,1481  9,438277E-6  0  0,002996789  0,003374975
-149,0683  8,343236E-6  0  0,0008505655  0,004184332
-150  4,406515E-6  0  -0,001674232  0,002635725
-150,9434  4,3556E-6  0  -0,003089206  -0,0004646022
-151,8987  8,090642E-6  0  -0,002608665  -0,003398935
-152,8662  8,967301E-6  0  -0,0005916964  -0,004500774
-153,8462  5,388647E-6  0  0,001699301  -0,003107231
-154,8387  3,494331E-6  0  0,002869936  4,573292E-5
-155,8442  6,423532E-6  0  0,002231035  0,003219416
-156,8627  8,927006E-6  0  0,0002037246  0,004643237
-157,8947  6,57711E-6  0  -0,001945431  0,003512887
-158,9404  3,413443E-6  0  -0,002877288  0,0004484989
-160  4,809555E-6  0  -0,001996588  -0,002849867
-161,0738  8,148674E-6  0  0,0001786826  -0,004556176
-162,1622  7,49549E-6  0  0,002319974  -0,00374181
-163,2653  3,936578E-6  0  0,003086755  -0,000889357
-164,3836  3,577018E-6  0  0,00194602  0,002391314
-165,5172  6,880475E-6  0  -0,0004806611  0,004278532
